timestamp,message_type,source_device_id,target_device_id,success,spreading_factor,rssi,snr,end_to_end_delay_ms,session_id,payload_size_bytes,server_timestamp
2025-07-29 14:48:27.214,KEEPALIVE,eui-617dd6c4ee40e566,,True,SF9,-89,15,,,1,1753811307.214287
2025-07-29 14:48:40.759,DISCOVER,eui-6a6222f434c7fd2c,,True,SF9,-84,15,,eui-6a6222f434c7fd2c_1753811320759,1,1753811320.759814
2025-07-29 14:48:40.761,ROSTER,SERVER,eui-6a6222f434c7fd2c,True,,,,,eui-6a6222f434c7fd2c_1753811320759,3,1753811320.76151
2025-07-29 14:48:40.762,ROSTER,SERVER,eui-6a6222f434c7fd2c,True,,,,,eui-6a6222f434c7fd2c_1753811320759,3,1753811320.762052
2025-07-29 14:48:50.797,DISCOVER,eui-617dd6c4ee40e566,,True,SF9,-80,15,,eui-617dd6c4ee40e566_1753811330797,1,1753811330.79781
2025-07-29 14:48:50.799,ROSTER,SERVER,eui-617dd6c4ee40e566,True,,,,,eui-617dd6c4ee40e566_1753811330797,3,1753811330.799203
2025-07-29 14:48:50.799,ROSTER,SERVER,eui-617dd6c4ee40e566,True,,,,,eui-617dd6c4ee40e566_1753811330797,3,1753811330.799802
2025-07-29 14:49:24.553,COMMAND,eui-617dd6c4ee40e566,eui-6a6222f434c7fd2c,True,SF9,-81,15,,eui-617dd6c4ee40e566_1753811330797,4,1753811364.553882
2025-07-29 14:49:32.779,KEEPALIVE,eui-617dd6c4ee40e566,,True,SF9,-91,15,,,1,1753811372.77929
2025-07-29 14:49:38.108,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF9,-84,15,,,1,1753811378.108942
2025-07-29 14:49:38.110,COMMAND,SERVER,eui-6a6222f434c7fd2c,True,,,,,,2,1753811378.110234
2025-07-29 14:49:44.863,DISCOVER,eui-617dd6c4ee40e566,,True,SF9,-85,15,,eui-617dd6c4ee40e566_1753811384863,1,1753811384.863989
2025-07-29 14:49:44.865,ROSTER,SERVER,eui-617dd6c4ee40e566,True,,,,,eui-617dd6c4ee40e566_1753811384863,3,1753811384.865142
2025-07-29 14:49:44.865,ROSTER,SERVER,eui-617dd6c4ee40e566,True,,,,,eui-617dd6c4ee40e566_1753811384863,3,1753811384.865715
2025-07-29 14:49:45.272,ACK,eui-6a6222f434c7fd2c,,True,SF9,-84,15,54475,eui-617dd6c4ee40e566_1753811330797,1,1753811385.272908
2025-07-29 14:49:54.385,COMMAND,eui-617dd6c4ee40e566,eui-6a6222f434c7fd2c,True,SF9,-80,15,,eui-617dd6c4ee40e566_1753811384863,4,1753811394.385454
2025-07-29 14:50:32.684,KEEPALIVE,eui-617dd6c4ee40e566,,True,SF9,-83,15,,,1,1753811432.684958
2025-07-29 14:50:38.416,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF9,-83,15,,,1,1753811438.416745
2025-07-29 14:50:38.417,COMMAND,SERVER,eui-6a6222f434c7fd2c,True,,,,,,2,1753811438.417916
2025-07-29 14:50:41.203,COMMAND,eui-617dd6c4ee40e566,eui-6a6222f434c7fd2c,True,SF9,-80,15,,eui-617dd6c4ee40e566_1753811384863,4,1753811441.203985
2025-07-29 14:50:45.584,ACK,eui-6a6222f434c7fd2c,,True,SF9,-84,15,60720,eui-617dd6c4ee40e566_1753811384863,1,1753811445.584658
2025-07-29 14:50:45.585,COMMAND,SERVER,eui-6a6222f434c7fd2c,True,,,,,,2,1753811445.585369
2025-07-29 14:50:52.858,ACK,eui-6a6222f434c7fd2c,,True,SF9,-86,14,,,1,1753811452.858184
2025-07-29 14:51:00.542,DISCOVER,eui-6a6222f434c7fd2c,,True,SF9,-85,15,,eui-6a6222f434c7fd2c_1753811460542,1,1753811460.542388
2025-07-29 14:51:00.543,ROSTER,SERVER,eui-6a6222f434c7fd2c,True,,,,,eui-6a6222f434c7fd2c_1753811460542,3,1753811460.543874
2025-07-29 14:51:00.544,ROSTER,SERVER,eui-6a6222f434c7fd2c,True,,,,,eui-6a6222f434c7fd2c_1753811460542,3,1753811460.54456
2025-07-29 14:51:07.264,COMMAND,eui-6a6222f434c7fd2c,eui-617dd6c4ee40e566,True,SF9,-86,15,,eui-6a6222f434c7fd2c_1753811320759,4,1753811467.264089
2025-07-29 14:51:34.431,KEEPALIVE,eui-617dd6c4ee40e566,,True,SF9,-100,-2,,,1,1753811494.431442
2025-07-29 14:51:34.433,COMMAND,SERVER,eui-617dd6c4ee40e566,True,,,,,,2,1753811494.433363
2025-07-29 14:51:40.574,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF9,-82,15,,,1,1753811500.574955
2025-07-29 14:51:41.532,ACK,eui-617dd6c4ee40e566,,True,SF9,-102,12,180773,eui-6a6222f434c7fd2c_1753811320759,1,1753811501.533059
2025-07-29 14:51:54.067,COMMAND,eui-617dd6c4ee40e566,eui-6a6222f434c7fd2c,True,SF9,-86,15,,,4,1753811514.067652
