timestamp,message_type,source_device_id,target_device_id,success,spreading_factor,rssi,snr,end_to_end_delay_ms,session_id,payload_size_bytes,server_timestamp
2025-07-29 13:44:51.347,DISCOVER,eui-6a6222f434c7fd2c,,True,SF9,-79,15,,eui-6a6222f434c7fd2c_1753807491347,1,1753807491.347848
2025-07-29 13:44:51.349,ROSTER,SERVER,eui-6a6222f434c7fd2c,True,,,,,eui-6a6222f434c7fd2c_1753807491347,1,1753807491.349786
2025-07-29 13:44:51.350,ROSTER,SERVER,eui-6a6222f434c7fd2c,True,,,,,eui-6a6222f434c7fd2c_1753807491347,1,1753807491.350237
2025-07-29 13:45:10.308,DISCOVER,eui-617dd6c4ee40e566,,True,SF9,-83,15,,eui-617dd6c4ee40e566_1753807510308,1,1753807510.308828
2025-07-29 13:45:10.310,ROSTER,SERVER,eui-617dd6c4ee40e566,True,,,,,eui-617dd6c4ee40e566_1753807510308,3,1753807510.31006
2025-07-29 13:45:10.310,ROSTER,SERVER,eui-617dd6c4ee40e566,True,,,,,eui-617dd6c4ee40e566_1753807510308,3,1753807510.310539
2025-07-29 13:45:13.688,DISCOVER,eui-6a6222f434c7fd2c,,True,SF9,-80,15,,eui-6a6222f434c7fd2c_1753807513688,1,1753807513.688756
2025-07-29 13:45:13.690,ROSTER,SERVER,eui-6a6222f434c7fd2c,True,,,,,eui-6a6222f434c7fd2c_1753807513688,3,1753807513.690593
2025-07-29 13:45:13.691,ROSTER,SERVER,eui-6a6222f434c7fd2c,True,,,,,eui-6a6222f434c7fd2c_1753807513688,3,1753807513.691123
2025-07-29 13:45:21.878,COMMAND,eui-6a6222f434c7fd2c,eui-617dd6c4ee40e566,True,SF9,-80,15,,eui-6a6222f434c7fd2c_1753807491347,4,1753807521.878746
2025-07-29 13:45:21.932,COMMAND,eui-617dd6c4ee40e566,eui-6a6222f434c7fd2c,True,SF9,-82,15,,eui-617dd6c4ee40e566_1753807510308,4,1753807521.932436
2025-07-29 13:45:21.933,COMMAND,SERVER,eui-617dd6c4ee40e566,True,,,,,,2,1753807521.933278
2025-07-29 13:45:29.149,ACK,eui-617dd6c4ee40e566,,True,SF9,-86,15,37801,eui-6a6222f434c7fd2c_1753807491347,1,1753807529.149648
2025-07-29 13:45:37.353,KEEPALIVE,eui-617dd6c4ee40e566,,True,SF9,-85,15,,,1,1753807537.353654
2025-07-29 13:45:40.107,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF9,-78,15,,,1,1753807540.107637
2025-07-29 13:45:40.108,COMMAND,SERVER,eui-6a6222f434c7fd2c,True,,,,,,2,1753807540.108837
2025-07-29 13:45:47.273,ACK,eui-6a6222f434c7fd2c,,True,SF9,-78,15,36964,eui-617dd6c4ee40e566_1753807510308,1,1753807547.273733
2025-07-29 13:45:55.569,COMMAND,eui-617dd6c4ee40e566,eui-6a6222f434c7fd2c,True,SF9,-86,15,,,4,1753807555.569898
2025-07-29 13:46:40.419,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF9,-80,15,,,1,1753807600.419684
2025-07-29 13:46:40.420,COMMAND,SERVER,eui-6a6222f434c7fd2c,True,,,,,,2,1753807600.420956
2025-07-29 13:46:47.586,ACK,eui-6a6222f434c7fd2c,,True,SF9,-79,15,,,1,1753807607.586973
2025-07-29 13:47:31.824,COMMAND,eui-617dd6c4ee40e566,eui-6a6222f434c7fd2c,True,SF9,-86,15,,,4,1753807651.824793
2025-07-29 13:47:35.920,DISCOVER,eui-6a6222f434c7fd2c,,True,SF9,-87,15,,eui-6a6222f434c7fd2c_1753807655920,1,1753807655.920994
2025-07-29 13:47:35.921,COMMAND,SERVER,eui-6a6222f434c7fd2c,True,,,,,eui-6a6222f434c7fd2c_1753807655920,2,1753807655.921793
2025-07-29 13:47:39.942,KEEPALIVE,eui-617dd6c4ee40e566,,True,SF9,-85,15,,,1,1753807659.942975
2025-07-29 13:47:43.088,ACK,eui-6a6222f434c7fd2c,,True,SF9,-91,12,,,1,1753807663.088772
2025-07-29 13:47:51.294,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF9,-84,15,,,1,1753807671.294202
2025-07-29 13:48:48.624,DISCOVER,eui-6a6222f434c7fd2c,,True,SF9,-78,15,,eui-6a6222f434c7fd2c_1753807728624,1,1753807728.62428
2025-07-29 13:48:48.625,ROSTER,SERVER,eui-6a6222f434c7fd2c,True,,,,,eui-6a6222f434c7fd2c_1753807728624,3,1753807728.625426
2025-07-29 13:48:48.625,ROSTER,SERVER,eui-6a6222f434c7fd2c,True,,,,,eui-6a6222f434c7fd2c_1753807728624,3,1753807728.626026
