timestamp,message_type,source_device_id,target_device_id,success,spreading_factor,rssi,snr,end_to_end_delay_ms,session_id,payload_size_bytes,server_timestamp
2025-07-29 14:23:50.253,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF10,-86,15,,,1,1753809830.253893
2025-07-29 14:23:59.366,KEEPALIVE,eui-617dd6c4ee40e566,,True,SF10,-89,15,,,1,1753809839.366908
2025-07-29 14:24:31.009,DISCOVER,eui-617dd6c4ee40e566,,True,SF10,-86,15,,eui-617dd6c4ee40e566_1753809871009,1,1753809871.009213
2025-07-29 14:24:31.010,ROSTER,SERVER,eui-617dd6c4ee40e566,True,,,,,eui-617dd6c4ee40e566_1753809871009,3,1753809871.010926
2025-07-29 14:24:31.011,ROSTER,SERVER,eui-617dd6c4ee40e566,True,,,,,eui-617dd6c4ee40e566_1753809871009,3,1753809871.011705
2025-07-29 14:24:49.543,COMMAND,eui-617dd6c4ee40e566,eui-6a6222f434c7fd2c,True,SF10,-88,15,,eui-617dd6c4ee40e566_1753809871009,4,1753809889.543251
2025-07-29 14:24:53.641,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF10,-81,15,,,1,1753809893.641867
2025-07-29 14:24:53.643,COMMAND,SERVER,eui-6a6222f434c7fd2c,True,,,,,,2,1753809893.643309
2025-07-29 14:25:01.013,ACK,eui-6a6222f434c7fd2c,,True,SF10,-84,15,30003,eui-617dd6c4ee40e566_1753809871009,1,1753809901.013084
2025-07-29 14:25:02.902,KEEPALIVE,eui-617dd6c4ee40e566,,True,SF10,-89,15,,,1,1753809902.902249
2025-07-29 14:25:34.804,DISCOVER,eui-6a6222f434c7fd2c,,True,SF10,-82,15,,eui-6a6222f434c7fd2c_1753809934804,1,1753809934.804991
2025-07-29 14:25:34.805,ROSTER,SERVER,eui-6a6222f434c7fd2c,True,,,,,eui-6a6222f434c7fd2c_1753809934804,3,1753809934.806033
2025-07-29 14:25:34.806,ROSTER,SERVER,eui-6a6222f434c7fd2c,True,,,,,eui-6a6222f434c7fd2c_1753809934804,3,1753809934.80647
2025-07-29 14:25:43.282,COMMAND,eui-6a6222f434c7fd2c,eui-617dd6c4ee40e566,True,SF10,-81,15,,eui-6a6222f434c7fd2c_1753809934804,4,1753809943.282949
2025-07-29 14:25:56.606,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF10,-90,15,,,1,1753809956.60618
2025-07-29 14:26:06.228,KEEPALIVE,eui-617dd6c4ee40e566,,True,SF10,-92,15,,,1,1753809966.228755
2025-07-29 14:26:06.230,COMMAND,SERVER,eui-617dd6c4ee40e566,True,,,,,,2,1753809966.230655
2025-07-29 14:26:13.614,ACK,eui-617dd6c4ee40e566,,True,SF10,-93,15,38809,eui-6a6222f434c7fd2c_1753809934804,1,1753809973.614654
2025-07-29 14:26:30.306,COMMAND,eui-617dd6c4ee40e566,eui-6a6222f434c7fd2c,True,SF10,-90,15,,,4,1753809990.306399
2025-07-29 14:27:00.210,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF10,-80,15,,,1,1753810020.210953
2025-07-29 14:27:00.211,COMMAND,SERVER,eui-6a6222f434c7fd2c,True,,,,,,2,1753810020.212029
2025-07-29 14:27:04.109,COMMAND,eui-617dd6c4ee40e566,eui-6a6222f434c7fd2c,True,SF10,-94,15,,,4,1753810024.109655
2025-07-29 14:27:07.375,ACK,eui-6a6222f434c7fd2c,,True,SF10,-81,15,,,1,1753810027.375619
2025-07-29 14:27:07.376,COMMAND,SERVER,eui-6a6222f434c7fd2c,True,,,,,,2,1753810027.376975
2025-07-29 14:27:14.749,ACK,eui-6a6222f434c7fd2c,,True,SF10,-79,15,,,1,1753810034.749241
2025-07-29 14:27:31.748,COMMAND,eui-617dd6c4ee40e566,eui-6a6222f434c7fd2c,True,SF10,-90,15,,,4,1753810051.748514
2025-07-29 14:28:03.088,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF10,-84,15,,,1,1753810083.088443
2025-07-29 14:28:03.089,COMMAND,SERVER,eui-6a6222f434c7fd2c,True,,,,,,2,1753810083.089574
2025-07-29 14:28:10.455,ACK,eui-6a6222f434c7fd2c,,True,SF10,-90,15,,,1,1753810090.456028
2025-07-29 14:28:15.165,KEEPALIVE,eui-617dd6c4ee40e566,,True,SF10,-87,15,,,1,1753810095.165712
2025-07-29 14:29:00.528,COMMAND,eui-617dd6c4ee40e566,eui-6a6222f434c7fd2c,True,SF10,-85,15,,,4,1753810140.528243
2025-07-29 14:29:03.806,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF10,-80,15,,,1,1753810143.8067
2025-07-29 14:29:03.807,COMMAND,SERVER,eui-6a6222f434c7fd2c,True,,,,,,2,1753810143.80783
 2025-07-29 14:31:05.253,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF10,-80,15,,,1,1753810265.253684
2025-07-29 14:31:10.878,DISCOVER,eui-617dd6c4ee40e566,,True,SF10,-86,15,,eui-617dd6c4ee40e566_1753810270878,1,1753810270.878949
2025-07-29 14:31:10.880,ROSTER,SERVER,eui-617dd6c4ee40e566,True,,,,,eui-617dd6c4ee40e566_1753810270878,3,1753810270.88045
