timestamp,message_type,source_device_id,target_device_id,success,spreading_factor,rssi,snr,end_to_end_delay_ms,session_id,payload_size_bytes,server_timestamp
2025-07-29 14:09:06.841,DISCOVER,eui-617dd6c4ee40e566,,True,SF10,-93,15,,eui-617dd6c4ee40e566_1753808946841,1,1753808946.841331
2025-07-29 14:09:06.843,ROSTER,SERVER,eui-617dd6c4ee40e566,True,,,,,eui-617dd6c4ee40e566_1753808946841,1,1753808946.84372
2025-07-29 14:09:06.844,ROSTER,SERVER,eui-617dd6c4ee40e566,True,,,,,eui-617dd6c4ee40e566_1753808946841,1,1753808946.84445
2025-07-29 14:09:13.470,DISCOVER,eui-6a6222f434c7fd2c,,True,SF10,-80,15,,eui-6a6222f434c7fd2c_1753808953470,1,1753808953.470724
2025-07-29 14:09:13.471,ROSTER,SERVER,eui-6a6222f434c7fd2c,True,,,,,eui-6a6222f434c7fd2c_1753808953470,3,1753808953.471051
2025-07-29 14:09:13.471,ROSTER,SERVER,eui-6a6222f434c7fd2c,True,,,,,eui-6a6222f434c7fd2c_1753808953470,3,1753808953.471136
2025-07-29 14:09:21.484,COMMAND,eui-6a6222f434c7fd2c,eui-617dd6c4ee40e566,True,SF10,-79,15,,eui-6a6222f434c7fd2c_1753808953470,4,1753808961.484726
2025-07-29 14:09:28.549,DISCOVER,eui-617dd6c4ee40e566,,True,SF10,-90,15,,eui-617dd6c4ee40e566_1753808968549,1,1753808968.549728
2025-07-29 14:09:28.551,COMMAND,SERVER,eui-617dd6c4ee40e566,True,,,,,eui-617dd6c4ee40e566_1753808968549,2,1753808968.551107
2025-07-29 14:09:29.779,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF10,-80,15,,,1,1753808969.779441
2025-07-29 14:09:35.923,ACK,eui-617dd6c4ee40e566,,True,SF10,-90,15,22452,eui-6a6222f434c7fd2c_1753808953470,1,1753808975.923854
2025-07-29 14:09:58.349,DISCOVER,eui-617dd6c4ee40e566,,True,SF10,-90,15,,eui-617dd6c4ee40e566_1753808998349,1,1753808998.349346
2025-07-29 14:09:58.350,ROSTER,SERVER,eui-617dd6c4ee40e566,True,,,,,eui-617dd6c4ee40e566_1753808998349,3,1753808998.35062
2025-07-29 14:09:58.351,ROSTER,SERVER,eui-617dd6c4ee40e566,True,,,,,eui-617dd6c4ee40e566_1753808998349,3,1753808998.351188
2025-07-29 14:10:06.643,COMMAND,eui-617dd6c4ee40e566,eui-6a6222f434c7fd2c,True,SF10,-89,15,,eui-617dd6c4ee40e566_1753808946841,4,1753809006.643933
2025-07-29 14:10:33.087,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF10,-81,15,,,1,1753809033.087261
2025-07-29 14:10:33.088,COMMAND,SERVER,eui-6a6222f434c7fd2c,True,,,,,,2,1753809033.088123
2025-07-29 14:10:39.922,KEEPALIVE,eui-617dd6c4ee40e566,,True,SF10,-92,15,,,1,1753809039.922545
2025-07-29 14:10:40.537,ACK,eui-6a6222f434c7fd2c,,True,SF10,-81,15,93696,eui-617dd6c4ee40e566_1753808946841,1,1753809040.537422
2025-07-29 14:11:33.785,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF10,-83,15,,,1,1753809093.785917
2025-07-29 14:11:41.367,COMMAND,eui-617dd6c4ee40e566,eui-6a6222f434c7fd2c,True,SF10,-87,15,,eui-617dd6c4ee40e566_1753808968549,4,1753809101.36747
2025-07-29 14:12:37.172,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF10,-80,15,,,1,1753809157.172702
2025-07-29 14:12:37.173,COMMAND,SERVER,eui-6a6222f434c7fd2c,True,,,,,,2,1753809157.173311
2025-07-29 14:12:44.482,ACK,eui-6a6222f434c7fd2c,,True,SF10,-82,15,195933,eui-617dd6c4ee40e566_1753808968549,1,1753809164.482814
2025-07-29 14:12:44.629,KEEPALIVE,eui-617dd6c4ee40e566,,True,SF10,-98,12,,,1,1753809164.629675
2025-07-29 14:13:09.941,COMMAND,eui-617dd6c4ee40e566,eui-6a6222f434c7fd2c,True,SF10,-89,15,,eui-617dd6c4ee40e566_1753808998349,4,1753809189.941648
2025-07-29 14:13:37.869,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF10,-83,15,,,1,1753809217.869921
2025-07-29 14:13:37.871,COMMAND,SERVER,eui-6a6222f434c7fd2c,True,,,,,,2,1753809217.871293
2025-07-29 14:13:45.268,ACK,eui-6a6222f434c7fd2c,,True,SF10,-84,15,226919,eui-617dd6c4ee40e566_1753808998349,1,1753809225.268657
2025-07-29 14:14:10.767,COMMAND,eui-6a6222f434c7fd2c,eui-617dd6c4ee40e566,True,SF10,-85,13,,,4,1753809250.767292
2025-07-29 14:14:39.233,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF10,-80,15,,,1,1753809279.233773
2025-07-29 14:14:48.171,KEEPALIVE,eui-617dd6c4ee40e566,,True,SF10,-92,15,,,1,1753809288.171686
2025-07-29 14:14:48.172,COMMAND,SERVER,eui-617dd6c4ee40e566,True,,,,,,2,1753809288.172922
2025-07-29 14:16:35.357,COMMAND,eui-617dd6c4ee40e566,eui-6a6222f434c7fd2c,True,SF10,-94,15,,,4,1753809395.35759
2025-07-29 14:16:43.139,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF10,-82,15,,,1,1753809403.139262
2025-07-29 14:16:43.140,COMMAND,SERVER,eui-6a6222f434c7fd2c,True,,,,,,2,1753809403.14052
2025-07-29 14:16:48.671,KEEPALIVE,eui-617dd6c4ee40e566,,True,SF10,-90,15,,,1,1753809408.6718
2025-07-29 14:16:50.614,ACK,eui-6a6222f434c7fd2c,,True,SF10,-80,15,,,1,1753809410.614397
2025-07-29 14:17:43.965,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF10,-79,15,,,1,1753809463.965754
2025-07-29 14:17:48.164,COMMAND,eui-617dd6c4ee40e566,eui-6a6222f434c7fd2c,True,SF10,-90,15,,,4,1753809468.164261
2025-07-29 14:18:47.249,KEEPALIVE,eui-6a6222f434c7fd2c,,True,SF10,-83,15,,,1,1753809527.249229
2025-07-29 14:18:47.250,COMMAND,SERVER,eui-6a6222f434c7fd2c,True,,,,,,2,1753809527.250518
2025-07-29 14:18:51.447,KEEPALIVE,eui-617dd6c4ee40e566,,True,SF10,-89,15,,,1,1753809531.447655
2025-07-29 14:18:54.621,ACK,eui-6a6222f434c7fd2c,,True,SF10,-80,15,,,1,1753809534.621903
